"","accession","species","genus","family","source","accession.version","taxid"
"10997","NC_081120","Erysimum flavum","Erysimum","Brassicaceae","all","NC_081120.1",2764639
"10998","NC_081121","Erysimum hieraciifolium","Erysimum","Brassicaceae","all","NC_081121.1",155756
"10999","NC_081122","Erysimum quadrangulum","Erysimum","Brassicaceae","all","NC_081122.1",1492263
"11000","NC_081123","Erysimum siliculosum","Erysimum","Brassicaceae","all","NC_081123.1",537132
"11001","NC_081124","Erysimum sisymbrioides","Erysimum","Brassicaceae","all","NC_081124.1",369002
"11002","NC_081125","Euclidium syriacum","Euclidium","Brassicaceae","all","NC_081125.1",345537
"11003","NC_081126","Eutrema nepalense","Eutrema","Brassicaceae","all","NC_081126.1",1205763
"11004","NC_081127","Goldbachia sabulosa","Goldbachia","Brassicaceae","all","NC_081127.1",537184
"11005","NC_081128","Isatis gymnocarpa","Isatis","Brassicaceae","all","NC_081128.1",358674
"11006","NC_081129","Isatis oblongata","Isatis","Brassicaceae","all","NC_081129.1",1619609
"11007","NC_081130","Matthiola stoddartii","Matthiola","Brassicaceae","all","NC_081130.1",1511924
"11008","NC_081131","Sisymbrium loeselii","Sisymbrium","Brassicaceae","all","NC_081131.1",203579
"11009","NC_081132","Sisymbrium polymorphum","Sisymbrium","Brassicaceae","all","NC_081132.1",203587
"11010","NC_081133","Sterigmostemum caspicum","Sterigmostemum","Brassicaceae","all","NC_081133.1",537185
"11011","NC_081461","Diospyros morrisiana","Diospyros","Ebenaceae","all","NC_081461.1",1008904
"11012","NC_081462","Diospyros eriantha","Diospyros","Ebenaceae","all","NC_081462.1",1009467
"11013","NC_081463","Sambucus canadensis","Sambucus","Adoxaceae","all","NC_081463.1",57008
"11014","NC_081464","Medinilla tapete-magicum","Medinilla","Melastomataceae","all","NC_081464.1",3047111
"11015","NC_081465","Dipterocarpus littoralis","Dipterocarpus","Dipterocarpaceae","all","NC_081465.1",2925019
"11016","NC_081466","Micranthes octopetala","Micranthes","Saxifragaceae","full+trnL","NC_081466.1",1779711
"11017","NC_081467","Quercus turbinella","Quercus","Fagaceae","all","NC_081467.1",33126
"11018","NC_081469","Ripogonum album","Ripogonum","Ripogonaceae","all","NC_081469.1",1159551
"11019","NC_081470","Ripogonum brevifolium","Ripogonum","Ripogonaceae","all","NC_081470.1",1218747
"11020","NC_081471","Ripogonum discolor","Ripogonum","Ripogonaceae","all","NC_081471.1",244036
"11021","NC_081472","Ripogonum elseyanum","Ripogonum","Ripogonaceae","all","NC_081472.1",59115
"11022","NC_081473","Ripogonum fawcettianum","Ripogonum","Ripogonaceae","all","NC_081473.1",1547482
"11023","NC_081474","Actaea biternata","Actaea","Ranunculaceae","all","NC_081474.1",64027
"11024","NC_081475","Actaea japonica","Actaea","Ranunculaceae","all","NC_081475.1",64035
"11025","NC_081476","Actaea purpurea","Actaea","Ranunculaceae","all","NC_081476.1",64039
"11026","NC_081477","Thymus serpyllum","Thymus","Lamiaceae","all","NC_081477.1",204219
"11027","NC_081478","Polygonatum campanulatum","Polygonatum","Asparagaceae","all","NC_081478.1",3047879
"11028","NC_081481","Pedicularis melampyriflora","Pedicularis","Orobanchaceae","all","NC_081481.1",3047500
"11029","NC_081482","Pedicularis striata","Pedicularis","Orobanchaceae","all","NC_081482.1",1348752
"11030","NC_081484","Pithecellobium dulce","Pithecellobium","Fabaceae","all","NC_081484.1",404691
"11031","NC_081486","Ormosia balansae","Ormosia","Fabaceae","all","NC_081486.1",499989
"11032","NC_081487","Ormosia elliptica","Ormosia","Fabaceae","all","NC_081487.1",2747421
"11033","NC_081488","Ormosia olivacea","Ormosia","Fabaceae","all","NC_081488.1",2747424
"11034","NC_081489","Ormosia microphylla","Ormosia","Fabaceae","all","NC_081489.1",2747423
"11035","NC_081490","Cycas crassipes","Cycas","Cycadaceae","full+trnL","NC_081490.1",3042452
"11036","NC_081491","Cycas ferruginea","Cycas","Cycadaceae","full+trnL","NC_081491.1",1115369
"11037","NC_081492","Cycas guizhouensis","Cycas","Cycadaceae","full+trnL","NC_081492.1",242199
"11038","NC_081493","Cycas longisporophylla","Cycas","Cycadaceae","full+trnL","NC_081493.1",3042453
"11039","NC_081494","Cycas longlinensis","Cycas","Cycadaceae","full+trnL","NC_081494.1",3042454
"11040","NC_081495","Duhaldea nervosa","Duhaldea","Asteraceae","all","NC_081495.1",441196
"11041","NC_081496","Vaccinium oxycoccos","Vaccinium","Ericaceae","all","NC_081496.1",516948
"11042","NC_081497","Vaccinium microcarpum","Vaccinium","Ericaceae","all","NC_081497.1",669730
"11043","NC_081500","Brugmansia arborea","Brugmansia","Solanaceae","all","NC_081500.1",41689
"11044","NC_081501","Prunus x cistena","Prunus","Rosaceae","all","NC_081501.1",1398537
"11045","NC_081502","Carex giraldiana","Carex","Cyperaceae","full+trnL","NC_081502.1",2753270
"11046","NC_081510","Barbella flagellifera","Barbella","Meteoriaceae","full+trnL","NC_081510.1",170465
"11047","NC_081512","Goodyera yunnanensis","Goodyera","Orchidaceae","full+trnL","NC_081512.1",1795528
"11048","NC_081513","Alcantarea nahoumii","Alcantarea","Bromeliaceae","all","NC_081513.1",1174927
"11049","NC_081514","Barfussia wagneriana","Barfussia","Bromeliaceae","all","NC_081514.1",294092
"11050","NC_081515","Catopsis nutans","Catopsis","Bromeliaceae","all","NC_081515.1",72644
"11051","NC_081516","Catopsis paniculata","Catopsis","Bromeliaceae","all","NC_081516.1",1908554
"11052","NC_081604","Guzmania mitis","Guzmania","Bromeliaceae","all","NC_081604.1",3051553
"11053","NC_081605","Lutheria bibeatricis","Lutheria","Bromeliaceae","all","NC_081605.1",3051594
"11054","NC_081606","Racinaea pugiformis","Racinaea","Bromeliaceae","all","NC_081606.1",446902
"11055","NC_081607","Racinaea rothschuhiana","Racinaea","Bromeliaceae","all","NC_081607.1",3051595
"11056","NC_081608","Stigmatodon gastinianus","Stigmatodon","Bromeliaceae","all","NC_081608.1",2602971
"11057","NC_081609","Stigmatodon plurifolius","Stigmatodon","Bromeliaceae","all","NC_081609.1",1908765
"11058","NC_081610","Tillandsia aeranthos","Tillandsia","Bromeliaceae","all","NC_081610.1",106477
"11059","NC_081611","Tillandsia albertiana","Tillandsia","Bromeliaceae","all","NC_081611.1",294031
"11060","NC_081612","Tillandsia albida","Tillandsia","Bromeliaceae","all","NC_081612.1",1618065
"11061","NC_081613","Tillandsia alfredo-lauii","Tillandsia","Bromeliaceae","all","NC_081613.1",3051554
"11062","NC_081614","Tillandsia alvareziae","Tillandsia","Bromeliaceae","all","NC_081614.1",3051555
"11063","NC_081615","Tillandsia andrieuxii","Tillandsia","Bromeliaceae","all","NC_081615.1",294032
"11064","NC_081616","Tillandsia arequitae","Tillandsia","Bromeliaceae","all","NC_081616.1",3051596
"11065","NC_081617","Tillandsia arroyoensis","Tillandsia","Bromeliaceae","all","NC_081617.1",588399
"11066","NC_081618","Tillandsia balbisiana","Tillandsia","Bromeliaceae","all","NC_081618.1",482611
"11067","NC_081619","Tillandsia bartramii","Tillandsia","Bromeliaceae","all","NC_081619.1",1620205
"11068","NC_081620","Tillandsia bochilensis","Tillandsia","Bromeliaceae","all","NC_081620.1",3051556
"11069","NC_081621","Tillandsia botterii","Tillandsia","Bromeliaceae","all","NC_081621.1",405629
"11070","NC_081622","Tillandsia bourgaei","Tillandsia","Bromeliaceae","all","NC_081622.1",588398
"11071","NC_081623","Tillandsia caliginosa","Tillandsia","Bromeliaceae","all","NC_081623.1",2136380
"11072","NC_081624","Tillandsia calothyrsus","Tillandsia","Bromeliaceae","all","NC_081624.1",2014384
"11073","NC_081625","Tillandsia capitata","Tillandsia","Bromeliaceae","all","NC_081625.1",863858
"11074","NC_081626","Tillandsia caput-medusae","Tillandsia","Bromeliaceae","all","NC_081626.1",294042
"11075","NC_081627","Tillandsia cardenasii","Tillandsia","Bromeliaceae","all","NC_081627.1",2708201
"11076","NC_081628","Tillandsia carlos-hankii","Tillandsia","Bromeliaceae","all","NC_081628.1",294043
"11077","NC_081629","Tillandsia caulescens","Tillandsia","Bromeliaceae","all","NC_081629.1",294044
"11078","NC_081630","Tillandsia cauligera","Tillandsia","Bromeliaceae","all","NC_081630.1",3051557
"11079","NC_081631","Tillandsia cees-goudae","Tillandsia","Bromeliaceae","all","NC_081631.1",3051558
"11080","NC_081632","Tillandsia chaetophylla","Tillandsia","Bromeliaceae","all","NC_081632.1",3051559
"11081","NC_081633","Tillandsia chapalillaensis","Tillandsia","Bromeliaceae","all","NC_081633.1",3051560
"11082","NC_081634","Tillandsia circinnatioides","Tillandsia","Bromeliaceae","all","NC_081634.1",588397
"11083","NC_081635","Tillandsia complanata","Tillandsia","Bromeliaceae","all","NC_081635.1",49533
"11084","NC_081636","Tillandsia concolor","Tillandsia","Bromeliaceae","all","NC_081636.1",482607
"11085","NC_081637","Tillandsia copalaensis","Tillandsia","Bromeliaceae","all","NC_081637.1",3051561
"11086","NC_081638","Tillandsia copanensis","Tillandsia","Bromeliaceae","all","NC_081638.1",3051562
"11087","NC_081639","Tillandsia cossoni","Tillandsia","Bromeliaceae","all","NC_081639.1",3051563
"11088","NC_081640","Tillandsia dasyliriifolia","Tillandsia","Bromeliaceae","all","NC_081640.1",622461
"11089","NC_081641","Tillandsia denudata","Tillandsia","Bromeliaceae","all","NC_081641.1",1908568
"11090","NC_081642","Tillandsia dugesii","Tillandsia","Bromeliaceae","all","NC_081642.1",588396
"11091","NC_081643","Tillandsia ehlersiana","Tillandsia","Bromeliaceae","all","NC_081643.1",2708205
"11092","NC_081644","Tillandsia eistetteri","Tillandsia","Bromeliaceae","all","NC_081644.1",3051564
"11093","NC_081645","Tillandsia erubescens","Tillandsia","Bromeliaceae","all","NC_081645.1",482609
"11094","NC_081646","Tillandsia esseriana","Tillandsia","Bromeliaceae","all","NC_081646.1",294051
